         417585 function calls (394430 primitive calls) in 0.280 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       92    0.000    0.000    0.000    0.000 typing.py:1122(_is_unpacked_typevartuple)
        1    0.000    0.000    0.000    0.000 socket.py:221(__init__)
      163    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
      226    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      196    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
      195    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
    77/55    0.000    0.000    0.003    0.000 typing.py:574(__getitem__)
       95    0.000    0.000    0.000    0.000 enum.py:199(__get__)
        2    0.000    0.000    0.007    0.004 utils.py:1(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:806(Optional)
        1    0.000    0.000    0.001    0.001 __init__.py:133(BeautifulSoup)
        2    0.000    0.000    0.023    0.011 response.py:1(<module>)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
       14    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
  121/103    0.000    0.000    0.000    0.000 typing.py:1443(__hash__)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       53    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _common.py:1(<module>)
       41    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      156    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      116    0.000    0.000    0.000    0.000 {built-in method sys.intern}
      127    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      177    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.027    0.027 ssl_.py:1(<module>)
       95    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.033    0.033 connectionpool.py:1(<module>)
       14    0.000    0.000    0.000    0.000 enum.py:1057(_add_member_)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
        4    0.000    0.000    0.000    0.000 typing.py:1927(_get_protocol_attrs)
      209    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      105    0.000    0.000    0.000    0.000 typing.py:1639(<genexpr>)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
       74    0.000    0.000    0.000    0.000 _parser.py:303(checkgroupname)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
        2    0.000    0.000    0.045    0.023 exceptions.py:1(<module>)
        2    0.000    0.000    0.004    0.002 abc.py:1(<module>)
    18/10    0.000    0.000    0.157    0.016 {built-in method builtins.__import__}
       53    0.000    0.000    0.000    0.000 __init__.py:305(escape)
    23/21    0.000    0.000    0.027    0.001 <frozen importlib._bootstrap_external>:1318(create_module)
