,Biotin,"Calcium, Ca","Carbohydrate, by difference","Chloride, Cl",Cholesterol,"Choline, total","Chromium, Cr","Copper, Cu","Fatty acids, total saturated","Fiber, total dietary","Folate, total","Iodine, I","Iron, Fe","Magnesium, Mg","Manganese, Mn",Molybdenum,Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na","Sugars, added",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-12,Vitamin B-6,"Vitamin C, total ascorbic acid","Vitamin D (D2 + D3), International Units",Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),"Zinc, Zn"
12,0.0,0.40859999999999996,0.8579000000000001,0.0,0.3566,0.13599999999999998,0.0,0.81,2.1885000000000003,0.6893,0.27749999999999997,0.0,0.5239,0.5166000000000001,0.3473,0.0,1.5501,0.3256,0.5688,0.27959999999999996,1.3272,0.5916,0.4255,1.1126,0.848,0.24330000000000002,1.6191000000000002,0.11549999999999999,0.1792,0.6912,1.0345,0.0,0.7027,0.23920000000000002,0.35450000000000004
13,0.0,0.5131,0.44239999999999996,0.0,0.17,0.0,0.0,0.0233,0.177,0.0,0.0,0.0,0.1283,0.0,0.0,0.0,0.0008,0.0,0.0032,0.0004,0.4142,0.0031,0.0,0.033,0.0,0.005,0.09720000000000001,0.0,0.0,0.0006,0.8889,0.0,0.0,0.0,0.0036
14,0.0,0.1362,0.229,0.0,0.22329999999999997,0.0502,0.0,0.2566,0.2419,0.3215,0.37,0.0,0.2661,0.2143,0.0,0.0,0.1866,0.0,0.1328,0.0949,0.23920000000000002,0.25549999999999995,0.6345999999999999,0.6292,0.0,0.2225,0.3376,0.24659999999999999,0.0,0.12179999999999999,0.7089,0.0,0.0373,1.7874999999999999,0.1091
15,0.0,0.6555,0.4047,0.0,0.38670000000000004,0.12639999999999998,0.0,0.8910999999999999,0.18670000000000003,0.3035,0.5325,0.0,0.7062,0.08810000000000001,0.01,0.0,0.7836,0.039,0.2784,0.1599,0.8026,0.5539000000000001,0.3654,0.32920000000000005,0.0,1.1040999999999999,0.17820000000000003,0.033299999999999996,0.17079999999999998,0.37879999999999997,1.6077,0.0,0.017300000000000003,0.0333,0.3528
16,0.0,0.0339,0.8833,0.0,2.4234,1.016,0.0,1.1477000000000002,0.5027999999999999,0.4249,0.46749999999999997,0.0,0.5055000000000001,0.1739,0.2691,0.0,0.8194999999999999,0.0262,0.3608,0.0967,0.8328000000000002,2.729199999999999,3.3855,0.6404,0.0,0.4233,0.45780000000000004,0.0111,10.2917,0.4247,0.39999999999999997,0.0,0.24259999999999998,0.2925,0.4056
17,0.0,0.0338,0.2406,0.0,0.2667,0.024399999999999998,0.0,0.07780000000000001,0.1358,0.13570000000000002,0.1,0.0,0.3134,0.05,0.0,0.0,0.3417,0.052000000000000005,0.022400000000000003,0.035699999999999996,0.6934,0.3085,0.0127,0.29350000000000004,0.0,0.8840999999999999,0.0698,0.3367,0.0,0.0588,0.0633,0.0,0.0347,0.20420000000000002,0.0236
18,0.0,0.3485,0.3301,0.0,0.27,0.07780000000000001,0.0,0.06559999999999999,1.0672,1.2429000000000001,0.06,0.0,1.6522999999999999,0.059500000000000004,0.0791,0.0,0.096,0.054400000000000004,0.1528,0.0394,0.6428,0.0892,0.28550000000000003,0.4352,0.0,0.1017,0.5241,0.0044,0.4,0.045899999999999996,0.23329999999999998,0.0012,0.4587,0.0392,0.0382
19,0.0,0.1985,0.5396000000000001,0.0,0.32010000000000005,0.1889,0.0,0.6955,0.6188999999999999,1.1462999999999999,0.6174999999999999,0.0,0.6824,0.2834,0.2343,0.0,0.6832999999999999,0.0126,0.2328,0.24629999999999996,0.7174000000000001,0.6301,0.45999999999999996,1.9705000000000001,0.0,0.4475,0.6748,0.3244,0.1167,0.3489,1.2822,0.0,0.352,2.1425,0.2401
20,0.0,0.127,0.0747,0.0,0.3934,0.1492,0.0,0.9888999999999999,0.5338,0.1822,0.052500000000000005,0.0,0.3717,0.1333,0.0,0.0,0.49920000000000003,0.0,0.35359999999999997,0.1866,0.5960000000000001,0.3677,0.41090000000000004,0.6052,0.0,0.31000000000000005,0.7855000000000001,0.2222,0.17079999999999998,0.43229999999999996,0.4222,0.0,0.442,2.7208,0.3682
21,0.0,0.2869,0.3388,0.0,0.32,0.0,0.0,0.2233,0.1988,0.2965,0.5825,0.0,0.3128,0.1881,0.113,0.0,0.7785,0.313,0.7424,0.1079,0.9818,0.4339,0.3073,0.9955999999999999,0.0,0.6483,0.2521,0.0111,0.0625,0.5141,0.0,0.0,0.08529999999999999,0.20920000000000002,0.15539999999999998
22,0.0,0.0877,0.2119,0.0,0.3167,0.1005,0.0,0.15999999999999998,0.2169,0.1714,0.08249999999999999,0.0,0.3028,0.0905,0.11560000000000001,0.0,0.6084,0.48660000000000003,0.17359999999999998,0.1422,0.9468,0.2169,0.2982,0.41690000000000005,0.0,0.1109,0.26969999999999994,0.0333,0.8208,0.13879999999999998,0.08449999999999999,0.0012,0.556,0.06420000000000001,0.0537
23,0.0,0.7354,0.5456,0.0,0.7768000000000002,0.11879999999999999,0.0,0.20220000000000002,2.6264,0.6071,0.4,0.0,0.4477,0.1477,0.21350000000000002,0.0,0.46790000000000004,0.27,0.5807999999999999,0.1347,1.7595999999999998,0.6331,0.7709,1.7369,0.0,0.9533999999999999,1.5060999999999998,0.41669999999999996,0.75,0.1359,0.1111,0.0263,0.1246,2.0267,0.5800000000000001
24,0.0,0.08610000000000001,0.1824,0.0,0.0,0.0736,0.0,3.7977,0.309,0.4895,0.055,0.0,0.47330000000000005,0.8848,2.8039,0.0,0.0729,0.1726,0.6474,0.223,0.5322,0.1,0.44489999999999996,0.0021,0.0,0.55,1.4209,0.0033,0.0,0.1235,0.012199999999999999,0.0,0.0933,0.0292,0.8728
25,0.0,0.0131,0.11689999999999999,0.0,0.38670000000000004,0.1151,0.0,0.8443999999999999,0.18600000000000003,0.1286,0.015,0.0,0.3267,0.061900000000000004,0.0,0.0,0.4731,0.0,0.2648,0.054299999999999994,0.5474,0.2685,0.3636,0.2491,0.0,0.2325,0.16670000000000001,0.0311,0.17079999999999998,0.33409999999999995,0.0322,0.0,0.004,0.0333,0.3464
26,0.0,0.18009999999999998,0.5403,0.0,2.5301,1.039,0.0,1.2589000000000001,1.3090000000000002,0.5071,0.7575,0.0,0.5638000000000001,0.2548,0.2634,0.0,0.8917999999999999,0.10579999999999999,0.40159999999999996,0.22400000000000003,0.9702000000000002,2.804699999999999,3.3746,0.6726,0.0,0.5681999999999999,2.032,0.3544,10.2917,0.5247,0.9720999999999999,0.0,0.28859999999999997,0.6159,0.4273
27,0.0,0.5492,0.374,0.0,0.17,0.0471,0.0,0.7023,0.4702,0.6822,0.0775,0.0,1.155,0.41190000000000004,7.0017000000000005,0.0,0.6434,0.313,0.3472,0.2349,0.5076,0.26159999999999994,0.4782,0.35559999999999997,0.0,0.2025,0.3705,0.0266,0.0625,0.5365,0.3078,0.0,0.22199999999999998,0.4809000000000001,0.2882
28,0.0,0.1217,0.5551,0.0,0.3034,0.1849,0.0,0.6455,0.83,0.5713,0.4375,0.0,0.6629,0.1739,0.2343,0.0,0.9385999999999999,0.0126,0.1728,0.14339999999999997,0.5436000000000001,0.7977000000000001,0.4454,1.0943,0.0,1.25,0.9401999999999999,0.0978,0.1167,0.23409999999999997,0.6333,0.0,0.7473,0.4092,0.2173
29,0.0,0.0985,0.46829999999999994,0.0,0.07,0.0915,0.0,0.4833,0.8103999999999999,0.36419999999999997,0.2675,0.0,0.2373,0.1619,0.2343,0.0,0.5843999999999999,0.0126,0.1624,0.09620000000000001,0.3382,0.4785,0.34550000000000003,0.4014,0.0,0.3183,0.6688000000000001,0.0333,0.1167,0.213,0.6345,0.0,0.24469999999999997,0.3175,0.1573
30,0.0,0.0297,0.734,0.0,0.2267,0.07,0.0,0.5886,0.5736,0.33,0.3005,0.0,0.2442,0.2238,0.3907,0.0,1.5207000000000002,0.7484,0.36619999999999997,0.1528,0.6111,0.6061,0.6255000000000001,0.6643000000000001,0.0,0.3992,0.6068,0.0222,0.4833,0.6011,1.5545999999999998,0.0,0.3193,0.4992,0.2423
31,0.0,0.0,0.024300000000000002,0.0,0.0,0.0,0.0,0.0,0.16649999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478,0.0,0.0,0.3846,0.0,0.0,0.0,0.0444,0.0,0.0,0.0,0.0
32,0.0,0.0424,0.4792,0.0,0.2934,0.07,0.0,0.4544,1.325,0.3927,0.38749999999999996,0.0,0.42669999999999997,0.1429,0.2343,0.0,0.871,0.0126,0.1152,0.10869999999999999,0.594,0.6861999999999999,0.32000000000000006,0.84,0.0,1.1541,1.0516999999999999,0.0111,0.0,0.1712,0.6233,0.0,0.23399999999999999,0.29,0.16999999999999998
33,0.0,0.06699999999999999,0.2409,0.0,0.18,0.17820000000000003,0.0,0.22000000000000003,0.0766,0.2357,0.02,0.0,0.3306,0.1619,0.0,0.0,0.7069,0.0,0.30720000000000003,0.1108,0.6838,0.4531,1.2327,1.1653,0.0,1.3457999999999999,0.10289999999999999,0.0188,0.16670000000000001,0.2824,0.0044,0.0,0.038,0.0125,0.2255
34,0.0,2.0778,0.9507,0.0,1.2035,0.13720000000000002,0.0,0.7165999999999999,3.9576,0.7714,0.88,0.0,0.7349000000000001,0.3906,0.2843,0.0,1.6713999999999998,0.5276,1.3967999999999998,0.1607,2.6914,1.3846999999999998,1.2127999999999999,2.4568,0.0,1.7599,1.8853000000000002,0.6121999999999999,1.7041,0.5629,0.7222999999999999,0.0263,0.3206,0.35009999999999997,0.9782
35,0.0,0.6263,0.7662,0.0,0.33999999999999997,0.1371,0.0,1.1911,1.3435,1.1714,0.31999999999999995,0.0,1.7355999999999998,0.5096,7.123,0.0,1.0188,0.0126,0.24639999999999998,0.2294,1.0278,0.8131999999999999,0.5327000000000001,2.4936,0.0,1.2517,1.5323999999999998,0.052199999999999996,0.10830000000000001,0.4394,0.6443,0.0,1.0787,1.385,0.38730000000000003
